hour,error_rate,avg_response_time
0,0.24902777777777776,1032.7972222222222
1,0.25680555555555556,1027.7420833333333
2,0.24833333333333332,1023.6341666666667
3,0.2446875,1037.4690625
4,0.26055555555555554,1043.9952777777778
5,0.25222222222222224,1029.1080555555557
6,0.25027777777777777,1028.66
7,0.25083333333333335,1027.7780555555555
8,0.23694444444444446,1019.6497222222222
9,0.24083333333333334,1028.42
10,0.25805555555555554,1022.1113888888889
11,0.25027777777777777,1030.0019444444445
12,0.24861111111111112,1020.6483333333333
13,0.2625,1044.3094444444444
14,0.24583333333333332,1035.42
15,0.24888888888888888,1023.8563888888889
16,0.24888888888888888,1020.3719444444445
17,0.2513888888888889,1034.0241666666666
18,0.2411111111111111,1031.768611111111
19,0.24583333333333332,1032.16
20,0.24444444444444444,1025.5425
21,0.24722222222222223,1028.3225
22,0.24333333333333335,1020.9594444444444
23,0.26222222222222225,1023.765
