customer_id,name,region,signup_date,is_current,effective_from,effective_to
1,Customer1,Central,2025-05-14,True,2025-05-14,
2,Customer2,East,2024-03-26,True,2024-03-26,
3,Customer3,East,2024-01-06,True,2024-01-06,
4,Customer4,Central,2025-01-30,True,2025-01-30,
5,Customer5,North,2024-07-03,True,2024-07-03,
6,Customer6,North,2024-04-22,True,2024-04-22,
7,Customer7,Central,2025-04-30,True,2025-04-30,
8,Customer8,West,2024-08-09,True,2024-08-09,
9,Customer9,North,2024-11-02,True,2024-11-02,
10,Customer10,North,2025-06-26,True,2025-06-26,
11,Customer11,West,2024-08-05,True,2024-08-05,
12,Customer12,West,2024-07-30,True,2024-07-30,
13,Customer13,East,2025-08-16,True,2025-08-16,
14,Customer14,West,2025-04-13,True,2025-04-13,
15,Customer15,West,2025-02-25,True,2025-02-25,
16,Customer16,North,2025-01-27,True,2025-01-27,
17,Customer17,Central,2025-02-15,True,2025-02-15,
18,Customer18,North,2024-07-21,True,2024-07-21,
19,Customer19,West,2025-07-28,True,2025-07-28,
20,Customer20,East,2025-09-22,True,2025-09-22,
21,Customer21,West,2024-01-22,True,2024-01-22,
22,Customer22,East,2024-08-30,True,2024-08-30,
23,Customer23,West,2025-04-23,True,2025-04-23,
24,Customer24,East,2025-05-27,True,2025-05-27,
25,Customer25,East,2024-09-30,True,2024-09-30,
26,Customer26,West,2024-11-01,True,2024-11-01,
27,Customer27,South,2025-01-16,True,2025-01-16,
28,Customer28,West,2025-11-22,True,2025-11-22,
29,Customer29,Central,2024-12-22,True,2024-12-22,
30,Customer30,East,2025-08-19,True,2025-08-19,
31,Customer31,South,2025-06-02,True,2025-06-02,
32,Customer32,East,2025-01-19,True,2025-01-19,
33,Customer33,Central,2025-09-03,True,2025-09-03,
34,Customer34,North,2025-11-16,True,2025-11-16,
35,Customer35,South,2025-05-04,True,2025-05-04,
36,Customer36,West,2025-01-09,True,2025-01-09,
37,Customer37,North,2024-11-27,True,2024-11-27,
38,Customer38,Central,2025-02-04,True,2025-02-04,
39,Customer39,East,2025-05-03,True,2025-05-03,
40,Customer40,Central,2025-05-09,True,2025-05-09,
41,Customer41,Central,2025-03-11,True,2025-03-11,
42,Customer42,South,2025-05-15,True,2025-05-15,
43,Customer43,West,2024-10-15,True,2024-10-15,
44,Customer44,West,2025-09-06,True,2025-09-06,
45,Customer45,Central,2025-11-30,True,2025-11-30,
46,Customer46,West,2024-10-30,True,2024-10-30,
47,Customer47,North,2025-05-24,True,2025-05-24,
48,Customer48,East,2024-08-01,True,2024-08-01,
49,Customer49,North,2024-11-09,True,2024-11-09,
50,Customer50,South,2024-12-08,True,2024-12-08,
51,Customer51,South,2024-11-20,True,2024-11-20,
52,Customer52,West,2025-06-30,True,2025-06-30,
53,Customer53,Central,2025-06-21,True,2025-06-21,
54,Customer54,West,2024-06-14,True,2024-06-14,
55,Customer55,North,2025-07-13,True,2025-07-13,
56,Customer56,East,2024-08-17,True,2024-08-17,
57,Customer57,Central,2025-05-01,True,2025-05-01,
58,Customer58,North,2024-02-10,True,2024-02-10,
59,Customer59,West,2025-05-05,True,2025-05-05,
60,Customer60,Central,2024-05-19,True,2024-05-19,
61,Customer61,Central,2024-02-01,True,2024-02-01,
62,Customer62,West,2025-08-16,True,2025-08-16,
63,Customer63,Central,2024-12-17,True,2024-12-17,
64,Customer64,Central,2024-09-05,True,2024-09-05,
65,Customer65,South,2025-04-04,True,2025-04-04,
66,Customer66,North,2025-01-26,True,2025-01-26,
67,Customer67,Central,2025-01-28,True,2025-01-28,
68,Customer68,North,2025-07-31,True,2025-07-31,
69,Customer69,East,2025-11-27,True,2025-11-27,
70,Customer70,West,2024-08-14,True,2024-08-14,
71,Customer71,East,2025-01-02,True,2025-01-02,
72,Customer72,North,2025-05-21,True,2025-05-21,
73,Customer73,West,2025-12-01,True,2025-12-01,
74,Customer74,West,2024-08-12,True,2024-08-12,
75,Customer75,South,2024-05-11,True,2024-05-11,
76,Customer76,South,2024-02-24,True,2024-02-24,
77,Customer77,North,2025-11-19,True,2025-11-19,
78,Customer78,Central,2025-02-04,True,2025-02-04,
79,Customer79,North,2025-06-24,True,2025-06-24,
80,Customer80,East,2024-12-18,True,2024-12-18,
81,Customer81,East,2024-05-11,True,2024-05-11,
82,Customer82,Central,2024-08-02,True,2024-08-02,
83,Customer83,West,2024-10-15,True,2024-10-15,
84,Customer84,Central,2024-12-01,True,2024-12-01,
85,Customer85,West,2024-05-30,True,2024-05-30,
86,Customer86,North,2024-10-25,True,2024-10-25,
87,Customer87,West,2025-05-27,True,2025-05-27,
88,Customer88,Central,2025-10-31,True,2025-10-31,
89,Customer89,West,2024-12-27,True,2024-12-27,
90,Customer90,South,2025-09-04,True,2025-09-04,
91,Customer91,Central,2024-12-12,True,2024-12-12,
92,Customer92,East,2025-04-07,True,2025-04-07,
93,Customer93,East,2025-01-17,True,2025-01-17,
94,Customer94,Central,2025-05-03,True,2025-05-03,
95,Customer95,West,2024-05-10,True,2024-05-10,
96,Customer96,Central,2024-08-08,True,2024-08-08,
97,Customer97,East,2025-06-18,True,2025-06-18,
98,Customer98,East,2025-03-02,True,2025-03-02,
99,Customer99,North,2024-04-24,True,2024-04-24,
100,Customer100,East,2025-07-07,True,2025-07-07,
101,Customer101,South,2025-08-29,True,2025-08-29,
102,Customer102,East,2024-11-12,True,2024-11-12,
103,Customer103,South,2025-08-03,True,2025-08-03,
104,Customer104,Central,2025-10-08,True,2025-10-08,
105,Customer105,South,2025-10-08,True,2025-10-08,
106,Customer106,East,2025-06-30,True,2025-06-30,
107,Customer107,North,2025-09-28,True,2025-09-28,
108,Customer108,North,2025-07-12,True,2025-07-12,
109,Customer109,South,2025-01-12,True,2025-01-12,
110,Customer110,South,2025-10-22,True,2025-10-22,
111,Customer111,North,2025-03-18,True,2025-03-18,
112,Customer112,East,2024-07-10,True,2024-07-10,
113,Customer113,East,2025-04-10,True,2025-04-10,
114,Customer114,East,2025-04-26,True,2025-04-26,
115,Customer115,North,2024-09-05,True,2024-09-05,
116,Customer116,Central,2025-11-09,True,2025-11-09,
117,Customer117,West,2024-12-13,True,2024-12-13,
118,Customer118,West,2025-06-24,True,2025-06-24,
119,Customer119,North,2025-05-11,True,2025-05-11,
120,Customer120,South,2024-05-01,True,2024-05-01,
121,Customer121,West,2025-02-10,True,2025-02-10,
122,Customer122,Central,2025-07-27,True,2025-07-27,
123,Customer123,West,2024-09-16,True,2024-09-16,
124,Customer124,North,2025-07-12,True,2025-07-12,
125,Customer125,East,2024-11-01,True,2024-11-01,
126,Customer126,Central,2024-09-08,True,2024-09-08,
127,Customer127,Central,2024-01-28,True,2024-01-28,
128,Customer128,East,2024-08-19,True,2024-08-19,
129,Customer129,North,2024-05-15,True,2024-05-15,
130,Customer130,North,2025-02-13,True,2025-02-13,
131,Customer131,Central,2024-11-28,True,2024-11-28,
132,Customer132,Central,2024-10-21,True,2024-10-21,
133,Customer133,Central,2025-03-12,True,2025-03-12,
